"X","Company.name.Latin.alphabet","Inactive","Quoted","Branch","OwnData","Country.ISO.code","NACE.Rev..2..core.code..4.digits.","Consolidation.code","Last.avail..year","Operating.revenue..Turnover..th.USD.Last.avail..yr","Number.of.employees.Last.avail..yr"
87,"SHENZHENJINGZHANXINGELECTRONIC","No","No","No","No","CN",2611,"LF",2019,"8 739 408","n.a."
88,"RENESASELECTRONIC","No","Yes","No","No","JP",2611,"C2",2021,"8 733 403","20 962"
89,"SONYSEMICONDUCTORSOLUTIONS","No","No","No","No","JP",2611,"LF",2021,"8 709 633","5 900"
90,"POWERSPEEDELECTRICAL","No","No","No","No","ZW",2611,"C2",2021,"8 660 239","n.a."
91,"SHENZHENTEJIALISCIENCEANDTECHNOLOGY","No","No","No","No","CN",2611,"LF",2019,"8 535 716","n.a."
92,"ZHONGSHANLANGHUAGUANGELECTRICALAPPLIANCECAI","No","No","No","No","CN",2611,"U1",2020,"8 504 706","15"
93,"SHENZHENSHIDASCIENCEANDTECHNOLOGY","No","No","No","No","CN",2611,"LF",2019,"8 347 892","19"
94,"ADVANCEDSEMICONDUCTORENGINEERING","No","No","No","No","TW",2611,"C2",2021,"8 344 581","n.a."
95,"SHENZHENJIZHITAISCIENCEANDTECHNOLOGY","No","No","No","No","CN",2611,"LF",2019,"8 324 107","20"
96,"SHENZHENSHENGKAIYUEELECTRONIC","No","No","No","No","CN",2611,"LF",2019,"8 216 506","9"
97,"SHENZHENXINRUIANSCIENCEANDTECHNOLOGY","No","No","No","No","CN",2611,"LF",2019,"8 197 815","3"
98,"SHENZHENTONGSHIDAELECTRONICSCIENCEANDTECHNOLOGY","No","No","No","No","CN",2611,"LF",2019,"8 197 583","n.a."
99,"SAMSUNGELECTROMECHANICS","No","Yes","No","No","KR",2611,"C2",2021,"8 153 578","n.a."
100,"SKYWORTHGROUP","No","Yes","No","No","BM",2611,"C1",2021,"8 149 724","34 000"
